Lint_percentage Seed_index Lint_index Seed_oil_content
37.5 11.3 8.1 18.2
38.9 9.6 7.2 19.8
41.7 8.5 7.1 19.8
40.9 9 7.3 19.8
38.4 10.5 7.9 20.2
36.6 10.2 6.8 19.2
38.7 8.6 6.6 18.7
38.4 9 6.7 19.6
37.8 9.5 6.7 18.6
40.5 8.7 7.1 19.6
40.6 10.1 8.4 19.3
42.1 9 7.8 18.8
40.5 9.1 7.5 19.3
40.3 9.3 7.5 19.1
38.5 10.4 7.9 20.2
38.6 8.9 6.6 17.9
42.3 9 7.9 19
41.2 10 8.3 19.5
40.2 10.4 8.4 18.4
41.4 8.7 7.6 17.4
42.8 7.9 6.8 19.6
40.8 10.2 8.2 18.6
41.8 9.6 8 17.9
37.1 10.4 7.2 18.9
38.8 10.7 8.6 19.6
38.5 9.7 7.3 17.2
40 9.3 7.3 17
40.6 9.6 7.6 19.2
40.2 9.1 7.5 19.4
40.1 9.7 7.7 19.5
37.5 9.5 7.2 17.8
39.6 9.2 7.4 20
37.1 9.8 7.2 20.1
39.8 9.6 7.5 19.1
38.6 9.6 7.1 17.8
39.4 10.4 8.3 22.2
39.2 9.8 7.5 19.6
39.5 10.4 7.8 18.9
39.6 9.3 7.2 19.4
38.2 9.9 7.3 19.1
36 9.9 6.8 21
38.9 9.7 7.6 17.3
42.5 9.6 8.3 17.7
39.6 8.8 6.9 18
37.5 9.8 6.8 20.3
37.5 10.2 7.5 18.8
40.6 9.4 7.7 19.4
37.7 10.1 7.5 18.5
40.3 8.9 7.3 18
38.4 9.4 7 19
41.4 9.1 7.9 18.1
36.7 11 7.8 19.2
39.8 9.3 7.9 18.3
40.7 9.2 7.5 21.1
39.1 8.3 6.4 17.3
36.1 10 6.8 19.5
39.9 9.7 8.1 19.9
41 8.8 7.6 17.6
39.5 11.2 8.7 18.8
42.4 8.9 7.9 18.1
42.9 8.3 7.3 19.3
40.9 8.3 7.2 18.9
40.5 9.3 7.5 19.1
41.3 9 7.8 19.1
38.3 9.7 7.5 17.6
38.8 8.7 6.7 20.2
38.7 8.8 6.9 16.2
40 9 8.3 18.5
37.1 11 8.6 18.4
39.1 9.4 7.7 18.9
38.3 10.2 7 18.4
39.3 9.8 7.8 19.9
39.3 9.3 7.3 19.2
39.4 10.4 8.3 19.3
36.4 8.5 6.1 18.8
40.1 9.5 7.5 19.2
37.3 9.7 6.7 19.8
38.8 9 6.9 19.7
44 10 9 18.8
38.8 9.9 7.8 21
40 10.5 8.2 17.8
40.4 9.3 7.3 20.3
40.3 10.5 8.8 17.9
38.9 9.3 7.3 18.8
37.8 9.6 7.2 19.5
38.5 10.1 8 17.5
36.6 10.3 6.7 19.9
40.4 9.3 7.6 18.8
38.8 8.9 6.9 18.5
40.5 8.7 7.3 18.6
38.6 8.7 7.2 18.4
41 9.4 7.9 19.1
